HST,Harry Styles,Singer-songwriter,0h3cm8d,false
JRO,J K Rowling,British novelist,042xh,false
VBE,Victoria Beckham,Businesswoman,0cgfb,false
SFR,Stephen Fry,Comedian,0h0yt,false
RBR,Richard Branson,Business magnate,0n839,false
SCO,Simon Cowell,A&R executive,01pfkw,false
RBA,Russell Brand,Comedian,06crng,false
RFE,Rio Ferdinand,Football player,018f19,false
GLI,Gary Lineker,Football player,039kn,false
JCL,Jeremy Clarkson,Broadcaster,01nbq4,false
EIZ,Eddie Izzard,Comedian,0126rp,false
IMC,Ian McKellan,Actor,03ym1,false
PST,Patrick Stewart,Actor,0jbp0,false
BCO,Brian Cox,Physicist,121d1858,false
IEL,Idris Elba,Actor,04v7kt,false
DWA,David Walliams,Actor,02_j7t,false
ACH,Alexa Chung,Writer,0cjqjn,false
FWE,Florence Welch,Musician,0hgrr7c,false
EJO,Elton John,Singer,01vrz41,false
AIA,Armando Iannucci,Satirist,01wd3l,false
PFA,Paloma Faith,Singer-songwriter,0660hs9,false
MLE,Martin Lewis,Journalist,0fm09c,false
BPI,Billie Piper,Actor,025mp5,false
ACA,Alistair Campbell,Politician,,false
JBA,John Barnes,Football player,02vmvk,false
BBR,Billy Bragg,Singer-songwriter,014cw2,false
DAL,Damon Albarn,Musician,,false
OAL,Olly Alexander,Musician,0g54904,false
TNE,Thandie Newton,Actor,02cpb7,false
ASO,Anna Soubry,Member of Parliament,02qrzk8,false
RFR,Rebecca Front,Actor,024m70,false
PPU,Phillip Pulman,Author,098sx,false
BGE,Bobby George,TV Presenter,,false
LCO,Lily Cole,Model,06l1yh,false
DWE,Dominic West,Actor,0686zv,false
TEM,Tracey Emin,Artist,015sxw,false
JPO,Jonathan Powell,Diplomat,0c8q96,false
JCE,John Cleese,Actor,041c4,false
VPA,Vicky Pattison,TV Personality,0j_5328,false
JCO,Jeremy Corbyn,Leader of Labour Party,025m87,false
NFA,Nigel Farage,Member of European Parliament,025qb6,false
KHO,Katie Hopkins,Media Personality,02r9469,false
TMA,Theresa May,Prime Minister,01zczs,false
DBA,Duncan Bannatyne,Entrepreneur,0bw7qg,false
MCA,Michael Caine,Actor,0gnbw,false
LHU,Liz Hurley,Actor,01pnn3,false
BJO,Boris Johnson,Member of Parliament,0h508,false
TPA,Theo Paphitis,Businessman,0br06k,false
JRE,Jacob Rees-Mogg,Member of Parliament,0gd_l6,false
LME,Louise Mensch,Former MP,08w9gj,false
JCI,Joan Collins,Actor,0dx_q,false
KCH,Keith Chegwin,TV Presenter,Keith Chegwin,false
DHA,Daniel Hannan,Member of European Parliament,035vb0,false
DDA,David Davis,Member of Parliament,01zg17,false
MGO,Michael Gove,Secretary of State for Environment,04ps6c,false
LFO,Liam Fox,Secretary of State for International Trade,01_13f,false
DCA,Douglas Carswell,Member of Parliament,062r5f,false
JRD,John Redwood,Member of Parliament,015rxq,false
DRA,Dominic Raab,Member of Parliament,0bwlxtv,false
EPA,Elaine Paige,Singer,025dnm,false
CBA,Cheryl Baker,TV Presenter,01whr0t,false
DKA,Daniel Kawczynski,Member of Parliament,060x66,false
MEL,Matthew Elliott,Chief Executive of the Vote Leave,0j7l7sv,false
MPO,Michael Portillo,Journalist,01d0lr,false
JDY,James Dyson,Inventor,0209vm,false
JRA,Jim Ratcliffe,Financier,02qw1bw,false
PMO,Piers Morgan,Journalist,02pjzn,false